Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
PS.es,0.25,2021/07/14  4:41 pm,2021/07/14  4:47 pm,-€0.25,25,-364,-500
PS.es,0.25,2021/05/14  9:32 am,2021/05/14  9:38 am,-€0.25,18,76,-500
PS.es,0.25,2021/02/19  8:21 pm,2021/02/19  8:34 pm,-€0.25,50,435,-500
PS.es,0.25,2021/02/17  7:41 pm,2021/02/17  7:51 pm,-€0.25,34,267,-500
PS.es,0.25,2021/02/17  7:41 pm,2021/02/17  7:52 pm,-€0.25,44,51,-500
PS.es,0.25,2021/02/17  5:33 pm,2021/02/17  5:38 pm,-€0.25,19,492,-500
PS.es,0.25,2021/02/17 12:36 pm,2021/02/17 12:41 pm,-€0.25,11,12,-500
PS.es,0.25,2021/02/17 11:28 am,2021/02/17 11:37 am,-€0.25,25,-196,-500
PS.es,0.25,2021/02/17 11:16 am,2021/02/17 11:27 am,-€0.25,39,305,-500
PS.es,0.25,2021/02/17 11:12 am,2021/02/17 11:12 am,-€0.25,3,141,-500
PS.es,0.25,2019/08/05 12:24 pm,2019/08/05 12:33 pm,-€0.25,25,-331,-500
PS.es,0.25,2019/05/12  1:07 pm,2019/05/12  1:18 pm,-€0.25,34,-488,-500
PS.es,0.25,2019/04/11 12:42 pm,2019/04/11 12:42 pm,-€0.25,1,223,-500
PS.es,0.25,2019/04/11 12:17 pm,2019/04/11 12:29 pm,-€0.25,27,-1208,-500
PS.es,0.25,2019/04/01  7:34 pm,2019/04/01  7:46 pm,-€0.25,51,-84,-500
PS.es,0.25,2019/03/24  5:48 pm,2019/03/24  5:50 pm,-€0.25,7,-331,-500
PS.es,0.25,2018/11/15  6:53 pm,2018/11/15  6:53 pm,-€0.25,1,-97,-500
PS.es,0.25,2018/11/15  5:48 pm,2018/11/15  5:48 pm,-€0.25,1,124,-500
PS.es,0.25,2018/11/15  5:43 pm,2018/11/15  5:44 pm,-€0.25,4,-129,-500
PS.es,0.25,2018/11/15  5:28 pm,2018/11/15  5:29 pm,-€0.25,6,-152,-500
PS.es,0.25,2018/11/15  5:25 pm,2018/11/15  5:25 pm,-€0.25,1,121,-500
PS.es,0.25,2018/11/15  4:48 pm,2018/11/15  4:51 pm,-€0.25,20,120,-500
PS.es,0.25,2018/11/15  4:42 pm,2018/11/15  4:45 pm,-€0.25,9,-150,-500
PS.es,0.25,2018/11/15  4:27 pm,2018/11/15  4:38 pm,-€0.25,48,-6,-500
PS.es,0.25,2018/11/15  4:24 pm,2018/11/15  4:26 pm,-€0.25,9,-500,-500
PS.es,0.25,2018/06/14  5:25 pm,2018/06/14  5:27 pm,-€0.25,8,-340,-500
PS.es,0.25,2021/05/14  9:33 am,2021/05/14  9:35 am,-€0.25,7,-90,-300
PS.es,0.25,2021/07/14  4:41 pm,2021/07/14  4:45 pm,€0.25,9,563,1000
PS.es,0.25,2021/02/19  8:21 pm,2021/02/19  8:25 pm,€0.25,21,52,1000
PS.es,0.25,2021/02/17  5:33 pm,2021/02/17  5:41 pm,€0.50,30,593,1000
PS.es,0.25,2021/02/17 12:36 pm,2021/02/17 12:46 pm,€0.50,31,616,1000
PS.es,0.25,2021/02/17 11:11 am,2021/02/17 11:22 am,€0.25,42,387,1000
PS.es,0.25,2019/08/05 12:25 pm,2019/08/05 12:30 pm,€0.75,15,683,1000
PS.es,0.25,2019/07/19  5:51 pm,2019/07/19  5:57 pm,€0.25,24,479,1000
PS.es,0.25,2019/06/14  7:39 pm,2019/06/14  7:52 pm,€0.25,33,610,1000
PS.es,0.25,2019/04/12  8:05 pm,2019/04/12  8:10 pm,€0.25,20,349,1000
PS.es,0.25,2019/03/19  8:28 pm,2019/03/19  8:30 pm,€0.25,10,406,1000
PS.es,0.25,2018/11/15  6:58 pm,2018/11/15  7:04 pm,€0.25,28,348,1000
PS.es,0.25,2018/11/15  6:48 pm,2018/11/15  6:52 pm,€0.75,26,669,1000
PS.es,0.25,2018/11/15  5:39 pm,2018/11/15  5:39 pm,€0.25,3,0,1000
PS.es,0.25,2018/11/15  5:35 pm,2018/11/15  5:36 pm,€0.75,4,37,1000
PS.es,0.25,2018/11/15  5:18 pm,2018/11/15  5:21 pm,€1.25,20,121,1000
PS.es,1,2021/01/25 11:52 am,2021/01/25 12:00 pm,-€1.00,17,-292,-500
PS.es,1,2021/01/25 11:38 am,2021/01/25 11:47 am,-€1.00,30,-417,-500
PS.es,1,2021/01/25 11:34 am,2021/01/25 11:37 am,-€1.00,11,367,-500
PS.es,1,2021/01/25 11:33 am,2021/01/25 11:37 am,-€1.00,10,-400,-500
PS.es,1,2021/01/25  9:25 am,2021/01/25  9:28 am,-€1.00,10,-101,-500
PS.es,1,2021/01/25  9:21 am,2021/01/25  9:24 am,-€1.00,10,-252,-500
PS.es,1,2021/01/22 11:21 am,2021/01/22 11:28 am,-€1.00,31,255,-500
PS.es,1,2021/01/22 11:20 am,2021/01/22 11:30 am,-€1.00,24,155,-500
PS.es,1,2021/01/19  7:00 pm,2021/01/19  7:07 pm,-€1.00,22,-291,-500
PS.es,1,2021/01/19  6:53 pm,2021/01/19  7:00 pm,-€1.00,27,-285,-500
PS.es,1,2021/01/19  6:53 pm,2021/01/19  6:58 pm,-€1.00,18,-358,-500
PS.es,1,2021/01/19  4:16 pm,2021/01/19  4:24 pm,-€1.00,26,379,-500
PS.es,1,2021/01/15  6:42 pm,2021/01/15  6:51 pm,-€1.00,42,-309,-500
PS.es,1,2021/01/15  4:15 pm,2021/01/15  4:17 pm,-€1.00,6,-151,-500
PS.es,1,2019/05/22 11:04 pm,2019/05/22 11:07 pm,-€1.00,16,-383,-500
PS.es,1,2019/02/10 10:35 am,2019/02/10 10:43 am,-€1.00,21,-26,-500
PS.es,1,2019/02/10 10:35 am,2019/02/10 10:46 am,-€1.00,44,156,-500
PS.es,1,2019/01/18 10:13 pm,2019/01/18 10:21 pm,-€1.00,25,-203,-500
PS.es,1,2019/01/18 10:12 pm,2019/01/18 10:13 pm,-€1.00,3,33,-500
PS.es,1,2019/01/18 10:12 pm,2019/01/18 10:12 pm,-€1.00,1,-245,-500
PS.es,1,2019/01/18 10:05 pm,2019/01/18 10:10 pm,-€1.00,22,-632,-500
PS.es,1,2019/01/18  9:57 pm,2019/01/18  9:59 pm,-€1.00,11,-13,-500
PS.es,1,2019/01/18  9:51 pm,2019/01/18  9:55 pm,-€1.00,9,-13,-500
PS.es,1,2019/01/18  9:51 pm,2019/01/18  9:51 pm,-€1.00,1,58,-500
PS.es,1,2019/01/18  9:32 pm,2019/01/18  9:35 pm,-€1.00,9,146,-500
PS.es,1,2019/01/18  8:12 pm,2019/01/18  8:17 pm,-€1.00,16,-32,-500
PS.es,1,2019/01/18  7:55 pm,2019/01/18  7:59 pm,-€1.00,20,-326,-500
PS.es,1,2019/01/18  7:55 pm,2019/01/18  8:07 pm,-€1.00,46,-9,-500
PS.es,1,2019/01/18  2:20 pm,2019/01/18  2:20 pm,-€1.00,1,347,-500
PS.es,1,2019/01/18  2:13 pm,2019/01/18  2:19 pm,-€1.00,25,9,-500
PS.es,1,2019/01/18  2:05 pm,2019/01/18  2:10 pm,-€1.00,19,-70,-500
PS.es,1,2019/01/18  1:53 pm,2019/01/18  2:00 pm,-€1.00,24,-61,-500
PS.es,1,2019/01/18  1:51 pm,2019/01/18  1:51 pm,-€1.00,2,-500,-500
PS.es,1,2019/01/18  1:51 pm,2019/01/18  1:53 pm,-€1.00,5,-216,-500
PS.es,1,2019/01/18 11:50 am,2019/01/18 11:52 am,-€1.00,7,-302,-500
PS.es,1,2019/01/18 11:49 am,2019/01/18 11:49 am,-€1.00,1,391,-500
PS.es,1,2019/01/18 11:46 am,2019/01/18 11:46 am,-€1.00,1,363,-500
PS.es,1,2019/01/18 11:39 am,2019/01/18 11:45 am,-€1.00,21,-334,-500
PS.es,1,2019/01/17  8:52 pm,2019/01/17  8:58 pm,-€1.00,16,-178,-500
PS.es,1,2019/01/17  8:49 pm,2019/01/17  8:56 pm,-€1.00,17,-500,-500
PS.es,1,2019/01/17  8:46 pm,2019/01/17  8:51 pm,-€1.00,20,-311,-500
PS.es,1,2019/01/17  8:44 pm,2019/01/17  8:54 pm,-€1.00,37,-177,-500
PS.es,1,2019/01/17  8:38 pm,2019/01/17  8:41 pm,-€1.00,15,-321,-500
PS.es,1,2019/01/17  8:34 pm,2019/01/17  8:37 pm,-€1.00,7,-368,-500
PS.es,1,2019/01/17  8:17 pm,2019/01/17  8:22 pm,-€1.00,13,-309,-500
PS.es,1,2019/01/17  8:17 pm,2019/01/17  8:25 pm,-€1.00,22,-384,-500
PS.es,1,2019/01/17  4:17 pm,2019/01/17  4:20 pm,-€1.00,9,265,-500
PS.es,1,2019/01/17  4:16 pm,2019/01/17  4:22 pm,-€1.00,16,-135,-500
PS.es,1,2019/01/17  4:15 pm,2019/01/17  4:15 pm,-€1.00,1,-9,-500
PS.es,1,2019/01/17  4:06 pm,2019/01/17  4:10 pm,-€1.00,10,-108,-500
PS.es,1,2019/01/17  4:06 pm,2019/01/17  4:15 pm,-€1.00,23,-589,-500
PS.es,1,2019/01/17  4:05 pm,2019/01/17  4:15 pm,-€1.00,30,405,-500
PS.es,1,2019/01/17  3:12 pm,2019/01/17  3:17 pm,-€1.00,26,411,-500
PS.es,1,2019/01/17  3:02 pm,2019/01/17  3:06 pm,-€1.00,11,-103,-500
PS.es,1,2019/01/17  3:01 pm,2019/01/17  3:06 pm,-€1.00,15,-46,-500
PS.es,1,2019/01/17  2:15 pm,2019/01/17  2:18 pm,-€1.00,13,-471,-500
PS.es,1,2019/01/17  1:40 pm,2019/01/17  1:50 pm,-€1.00,27,-125,-500
PS.es,1,2019/01/17  1:35 pm,2019/01/17  1:37 pm,-€1.00,7,-373,-500
PS.es,1,2019/01/17  1:24 pm,2019/01/17  1:31 pm,-€1.00,20,-294,-500
PS.es,1,2019/01/17  1:15 pm,2019/01/17  1:22 pm,-€1.00,20,-272,-500
PS.es,1,2019/01/17  1:08 pm,2019/01/17  1:14 pm,-€1.00,23,-236,-500
PS.es,1,2019/01/17 12:01 pm,2019/01/17 12:07 pm,-€1.00,20,-290,-500
PS.es,1,2019/01/17 11:54 am,2019/01/17 12:00 pm,-€1.00,25,-312,-500
PS.es,1,2019/01/17 11:42 am,2019/01/17 11:53 am,-€1.00,27,-210,-500
PS.es,1,2019/01/17 11:37 am,2019/01/17 11:50 am,-€1.00,39,-400,-500
PS.es,1,2019/01/17 11:35 am,2019/01/17 11:41 am,-€1.00,15,-500,-500
PS.es,1,2019/01/17 11:34 am,2019/01/17 11:37 am,-€1.00,12,-258,-500
PS.es,1,2019/01/17 10:57 am,2019/01/17 11:09 am,-€1.00,28,389,-500
PS.es,1,2019/01/17 10:57 am,2019/01/17 11:12 am,-€1.00,53,258,-500
PS.es,1,2019/01/17 10:57 am,2019/01/17 11:01 am,-€1.00,11,16,-500
PS.es,1,2019/01/17 10:51 am,2019/01/17 10:56 am,-€1.00,13,-267,-500
PS.es,1,2019/01/17 10:48 am,2019/01/17 10:57 am,-€1.00,25,33,-500
PS.es,1,2019/01/17 10:41 am,2019/01/17 10:46 am,-€1.00,19,264,-500
PS.es,1,2019/01/17 10:40 am,2019/01/17 10:41 am,-€1.00,3,48,-500
PS.es,1,2019/01/17 10:40 am,2019/01/17 10:40 am,-€1.00,1,173,-500
PS.es,1,2019/01/17  9:52 am,2019/01/17 10:03 am,-€1.00,47,1230,-500
PS.es,1,2019/01/17  9:50 am,2019/01/17  9:51 am,-€1.00,3,-68,-500
PS.es,1,2019/01/17  9:49 am,2019/01/17  9:50 am,-€1.00,4,-211,-500
PS.es,1,2019/01/17  9:47 am,2019/01/17  9:53 am,-€1.00,14,-10,-500
PS.es,1,2019/01/17  9:40 am,2019/01/17  9:46 am,-€1.00,16,-430,-500
PS.es,1,2019/01/17  9:40 am,2019/01/17  9:48 am,-€1.00,27,-482,-500
PS.es,1,2019/01/17  9:40 am,2019/01/17  9:49 am,-€1.00,34,414,-500
PS.es,1,2019/01/17  9:36 am,2019/01/17  9:38 am,-€1.00,8,0,-500
PS.es,1,2019/01/17  9:35 am,2019/01/17  9:35 am,-€1.00,2,-500,-500
PS.es,1,2019/01/17  9:27 am,2019/01/17  9:34 am,-€1.00,22,210,-500
PS.es,1,2019/01/17  9:26 am,2019/01/17  9:39 am,-€1.00,48,122,-500
PS.es,1,2019/01/17  9:14 am,2019/01/17  9:22 am,-€1.00,24,767,-500
PS.es,1,2019/01/17  9:10 am,2019/01/17  9:21 am,-€1.00,32,317,-500
PS.es,1,2019/01/17  9:08 am,2019/01/17  9:09 am,-€1.00,3,-500,-500
PS.es,1,2019/01/17  9:08 am,2019/01/17  9:12 am,-€1.00,10,-228,-500
PS.es,1,2019/01/16 10:05 pm,2019/01/16 10:07 pm,-€1.00,6,-242,-500
PS.es,1,2019/01/16  8:11 pm,2019/01/16  8:15 pm,-€1.00,10,-73,-500
PS.es,1,2019/01/16  8:08 pm,2019/01/16  8:09 pm,-€1.00,6,-329,-500
PS.es,1,2019/01/16  8:07 pm,2019/01/16  8:11 pm,-€1.00,9,-143,-500
PS.es,1,2019/01/16  8:07 pm,2019/01/16  8:11 pm,-€1.00,9,357,-500
PS.es,1,2019/01/16  7:58 pm,2019/01/16  8:01 pm,-€1.00,9,-50,-500
PS.es,1,2019/01/16  7:26 pm,2019/01/16  7:27 pm,-€1.00,7,-315,-500
PS.es,1,2019/01/16  7:03 pm,2019/01/16  7:11 pm,-€1.00,25,107,-500
PS.es,1,2019/01/16  6:53 pm,2019/01/16  7:02 pm,-€1.00,32,-259,-500
PS.es,1,2019/01/16  6:34 pm,2019/01/16  6:39 pm,-€1.00,9,83,-500
PS.es,1,2019/01/16  6:34 pm,2019/01/16  6:41 pm,-€1.00,18,-322,-500
PS.es,1,2019/01/16 11:27 am,2019/01/16 11:28 am,-€1.00,3,60,-500
PS.es,1,2019/01/16 11:27 am,2019/01/16 11:33 am,-€1.00,27,-240,-500
PS.es,1,2019/01/16 10:34 am,2019/01/16 10:40 am,-€1.00,18,-106,-500
PS.es,1,2019/01/16 10:24 am,2019/01/16 10:33 am,-€1.00,32,-156,-500
PS.es,1,2019/01/16 10:21 am,2019/01/16 10:31 am,-€1.00,37,39,-500
PS.es,1,2019/01/16 10:21 am,2019/01/16 10:23 am,-€1.00,12,-136,-500
PS.es,1,2019/01/16 10:12 am,2019/01/16 10:20 am,-€1.00,28,483,-500
PS.es,1,2019/01/16  9:49 am,2019/01/16  9:54 am,-€1.00,15,-448,-500
PS.es,1,2019/01/16  9:39 am,2019/01/16  9:46 am,-€1.00,17,104,-500
PS.es,1,2019/01/16  9:38 am,2019/01/16  9:45 am,-€1.00,20,28,-500
PS.es,1,2019/01/16  9:38 am,2019/01/16  9:49 am,-€1.00,28,-482,-500
PS.es,1,2019/01/16  9:32 am,2019/01/16  9:37 am,-€1.00,16,79,-500
PS.es,1,2019/01/16  9:28 am,2019/01/16  9:31 am,-€1.00,15,156,-500
PS.es,1,2019/01/16  9:19 am,2019/01/16  9:29 am,-€1.00,27,-5,-500
PS.es,1,2019/01/16  9:19 am,2019/01/16  9:25 am,-€1.00,19,-411,-500
PS.es,1,2019/01/16  9:13 am,2019/01/16  9:14 am,-€1.00,6,10,-500
PS.es,1,2019/01/16  9:11 am,2019/01/16  9:11 am,-€1.00,4,-1,-500
