"Site","Tournament #","Buy-In","Tourney Start","Tourney End","My C Net Won","Hands","chipEV/tourney","Chips Won"
"PokerStars","3229736970","€0.23+€0.02","2021/07/14  4:41 pm","2021/07/14  4:45 pm","€0.25","9","563","1,000"
"PokerStars","3229736859","€0.23+€0.02","2021/07/14  4:41 pm","2021/07/14  4:47 pm","-€0.25","25","-364","-500"
"PokerStars","3229734627","€4.65+€0.35","2021/07/14  4:32 pm","2021/07/14  4:38 pm","-€5.00","18","-500","-500"
"PokerStars","3229734432","€4.65+€0.35","2021/07/14  4:32 pm","2021/07/14  4:39 pm","€10.00","27","169","1,000"
"PokerStars","3229731292","€4.65+€0.35","2021/07/14  4:18 pm","2021/07/14  4:30 pm","-€5.00","49","-288","-500"
"PokerStars","3229731189","€4.65+€0.35","2021/07/14  4:18 pm","2021/07/14  4:28 pm","€10.00","34","-310","1,000"
"PokerStars","3229660332","€4.65+€0.35","2021/07/14 11:12 am","2021/07/14 11:16 am","-€5.00","13","-375","-500"
"PokerStars","3229660267","€4.65+€0.35","2021/07/14 11:12 am","2021/07/14 11:18 am","€10.00","28","591","1,000"
"PokerStars","3229644758","€4.65+€0.35","2021/07/14 10:22 am","2021/07/14 10:27 am","€10.00","10","753","1,000"
"PokerStars","3229644400","€4.65+€0.35","2021/07/14 10:22 am","2021/07/14 10:26 am","-€5.00","7","-239","-500"
"PokerStars","3229639540","€4.65+€0.35","2021/07/14 10:08 am","2021/07/14 10:21 am","-€5.00","44","-1,143","-500"
"PokerStars","3229625571","€4.65+€0.35","2021/07/14  9:29 am","2021/07/14  9:36 am","-€5.00","29","354","1,000"
"PokerStars","3222310765","€4.65+€0.35","2021/07/01  9:18 am","2021/07/01  9:27 am","-€5.00","39","289","-500"
"PokerStars","3193072407","€0.23+€0.02","2021/05/14  9:33 am","2021/05/14  9:35 am","-€0.25","7","-90","-300"
"PokerStars","3193072040","€0.23+€0.02","2021/05/14  9:32 am","2021/05/14  9:38 am","-€0.25","18","76","-500"
"PokerStars","3139528516","€4.65+€0.35","2021/03/01  3:05 pm","2021/03/01  3:13 pm","€5.00","41","877","1,000"
"PokerStars","3135743038","€4.65+€0.35","2021/02/24  7:09 pm","2021/02/24  7:11 pm","-€5.00","7","-513","-500"
"PokerStars","3135742005","€4.65+€0.35","2021/02/24  7:06 pm","2021/02/24  7:08 pm","-€5.00","9","-377","-500"
"PokerStars","3135741542","€4.65+€0.35","2021/02/24  7:05 pm","2021/02/24  7:09 pm","-€5.00","13","556","-500"
"PokerStars","3135737815","€4.65+€0.35","2021/02/24  6:55 pm","2021/02/24  7:05 pm","-€5.00","31","219","-500"
"PokerStars","3135734737","€4.65+€0.35","2021/02/24  6:48 pm","2021/02/24  7:04 pm","€20.00","74","-648","1,000"
"PokerStars","3135733846","€4.65+€0.35","2021/02/24  6:45 pm","2021/02/24  6:55 pm","€10.00","45","8","1,000"
"PokerStars","3135731618","€4.65+€0.35","2021/02/24  6:39 pm","2021/02/24  6:47 pm","-€5.00","35","180","-500"
"PokerStars","3135731451","€4.65+€0.35","2021/02/24  6:39 pm","2021/02/24  6:45 pm","€10.00","17","418","1,000"
"PokerStars","3134977841","€4.65+€0.35","2021/02/23  6:20 pm","2021/02/23  6:32 pm","€10.00","58","900","1,000"
"PokerStars","3134976271","€4.65+€0.35","2021/02/23  6:17 pm","2021/02/23  6:21 pm","-€5.00","11","-123","-500"
"PokerStars","3134975473","€4.65+€0.35","2021/02/23  6:14 pm","2021/02/23  6:19 pm","€5.00","19","937","1,000"
"PokerStars","3134975196","€4.65+€0.35","2021/02/23  6:13 pm","2021/02/23  6:16 pm","€5.00","19","365","1,000"
"PokerStars","3134974830","€4.65+€0.35","2021/02/23  6:12 pm","2021/02/23  6:13 pm","-€5.00","4","72","-500"
"PokerStars","3134971353","€4.65+€0.35","2021/02/23  6:01 pm","2021/02/23  6:12 pm","-€5.00","63","-433","-500"
"PokerStars","3134970936","€4.65+€0.35","2021/02/23  6:01 pm","2021/02/23  6:12 pm","€5.00","34","-109","-500"
"PokerStars","3134970354","€4.65+€0.35","2021/02/23  5:58 pm","2021/02/23  6:00 pm","€10.00","12","856","1,000"
"PokerStars","3134967776","€4.65+€0.35","2021/02/23  5:51 pm","2021/02/23  6:00 pm","-€5.00","35","-550","-500"
"PokerStars","3134967654","€4.65+€0.35","2021/02/23  5:50 pm","2021/02/23  5:57 pm","-€5.00","24","54","-500"
