Site,Buy-In,Tourney Start,Tourney End,My C Net Won,Hands,chipEV/tourney,Chips Won
Sportium,5,2021/07/01  5:45 pm,2021/07/01  5:46 pm,-€5.00,4,-500,-500
Sportium,5,2021/07/01  5:25 pm,2021/07/01  5:31 pm,-€5.00,20,-222,-500
Sportium,5,2021/06/14 11:21 am,2021/06/14 11:25 am,-€5.00,10,-309,-500
Sportium,5,2020/08/17  2:17 pm,2020/08/17  2:29 pm,-€5.00,25,872,-500
Sportium,5,2020/08/17  2:14 pm,2020/08/17  2:22 pm,-€5.00,17,-355,-500
Sportium,5,2020/08/07  7:20 pm,2020/08/07  7:23 pm,-€5.00,8,-396,-500
Sportium,5,2020/08/06  8:07 pm,2020/08/06  8:08 pm,-€5.00,2,-129,-500
Sportium,5,2020/08/06  8:04 pm,2020/08/06  8:11 pm,-€5.00,22,-79,-500
Sportium,5,2020/08/06  5:16 pm,2020/08/06  5:24 pm,-€5.00,29,-161,-500
Sportium,5,2020/08/06  4:53 pm,2020/08/06  4:58 pm,-€5.00,17,-27,-500
Sportium,5,2020/08/06  4:43 pm,2020/08/06  4:46 pm,-€5.00,9,-483,-500
Sportium,5,2020/08/06 11:01 am,2020/08/06 11:05 am,-€5.00,13,-20,-500
Sportium,5,2020/08/05  6:43 pm,2020/08/05  6:47 pm,-€5.00,14,-34,-500
Sportium,5,2020/08/05  4:53 pm,2020/08/05  5:03 pm,-€5.00,34,-507,-500
Sportium,5,2020/08/07  2:48 pm,2020/08/07  2:58 pm,-€5.00,32,531,-495
Sportium,5,2021/07/01  6:10 pm,2021/07/01  6:18 pm,€5.00,29,531,1000
Sportium,5,2021/07/01  5:32 pm,2021/07/01  5:39 pm,€10.00,15,993,1000
Sportium,5,2021/07/01  5:25 pm,2021/07/01  5:31 pm,€10.00,12,71,1000
Sportium,5,2021/06/14 11:22 am,2021/06/14 11:29 am,€10.00,22,66,1000
Sportium,5,2020/08/07  4:18 pm,2020/08/07  4:22 pm,€5.00,7,-8,1000
Sportium,5,2020/08/07  3:30 pm,2020/08/07  3:39 pm,€15.00,24,152,1000
Sportium,5,2020/08/07  2:21 pm,2020/08/07  2:26 pm,€5.00,15,59,1000
Sportium,5,2020/08/07  2:17 pm,2020/08/07  2:25 pm,€5.00,28,291,1000
Sportium,5,2020/08/06  8:09 pm,2020/08/06  8:18 pm,€10.00,26,394,1000
Sportium,5,2020/08/06  5:13 pm,2020/08/06  5:19 pm,€5.00,16,35,1000
Sportium,5,2020/08/06  4:50 pm,2020/08/06  4:51 pm,€5.00,4,295,1000
Sportium,5,2020/08/06 11:48 am,2020/08/06 11:55 am,€15.00,19,223,1000
Sportium,5,2020/08/06 11:00 am,2020/08/06 11:08 am,€10.00,28,-58,1000
Sportium,5,2020/08/06 10:47 am,2020/08/06 10:54 am,€5.00,13,11,1000
Sportium,5,2020/08/05  6:42 pm,2020/08/05  6:49 pm,€10.00,19,1339,1000
Sportium,10,2021/07/14  9:25 pm,2021/07/14  9:31 pm,-€10.00,18,-176,-500
Sportium,10,2021/07/14  9:21 pm,2021/07/14  9:23 pm,-€10.00,6,-192,-500
Sportium,10,2021/07/14  9:17 pm,2021/07/14  9:21 pm,-€10.00,11,-369,-500
Sportium,10,2021/07/14  9:10 pm,2021/07/14  9:17 pm,-€10.00,19,-264,-500
Sportium,10,2021/07/01 10:04 pm,2021/07/01 10:10 pm,-€10.00,23,-120,-500
Sportium,10,2021/07/01 10:03 pm,2021/07/01 10:12 pm,-€10.00,37,-460,-500
Sportium,10,2021/07/01 10:03 pm,2021/07/01 10:08 pm,-€10.00,16,-399,-500
Sportium,10,2021/07/01  9:59 pm,2021/07/01 10:02 pm,-€10.00,10,-99,-500
Sportium,10,2021/07/01  9:56 pm,2021/07/01 10:02 pm,-€10.00,23,73,-500
Sportium,10,2021/07/01  9:55 pm,2021/07/01  9:58 pm,-€10.00,14,216,-500
Sportium,10,2021/07/01  9:48 pm,2021/07/01  9:55 pm,-€10.00,22,-528,-500
Sportium,10,2021/07/01  9:45 pm,2021/07/01  9:50 pm,-€10.00,17,-167,-500
Sportium,10,2021/07/01  9:44 pm,2021/07/01  9:50 pm,-€10.00,21,27,-500
Sportium,10,2021/07/01  9:40 pm,2021/07/01  9:43 pm,-€10.00,12,129,-500
Sportium,10,2021/07/01  9:35 pm,2021/07/01  9:38 pm,-€10.00,9,-259,-500
Sportium,10,2021/07/01  9:34 pm,2021/07/01  9:45 pm,-€10.00,45,-227,-500
Sportium,10,2021/07/01  9:25 pm,2021/07/01  9:30 pm,-€10.00,21,32,-500
Sportium,10,2021/07/01  9:24 pm,2021/07/01  9:25 pm,-€10.00,3,-48,-500
Sportium,10,2021/07/01  9:18 pm,2021/07/01  9:24 pm,-€10.00,18,-29,-500
Sportium,10,2021/07/01  9:17 pm,2021/07/01  9:24 pm,-€10.00,26,-138,-500
Sportium,10,2021/07/01  6:12 pm,2021/07/01  6:17 pm,-€10.00,16,-270,-500
Sportium,10,2021/07/01  5:52 pm,2021/07/01  5:56 pm,-€10.00,12,330,-500
Sportium,10,2021/07/01  5:50 pm,2021/07/01  5:57 pm,-€10.00,25,-455,-500
Sportium,10,2021/07/01  5:45 pm,2021/07/01  5:50 pm,-€10.00,14,-265,-500
Sportium,10,2021/07/01  5:41 pm,2021/07/01  5:43 pm,-€10.00,7,120,-500
Sportium,10,2021/07/01  5:39 pm,2021/07/01  5:44 pm,-€10.00,19,-433,-500
Sportium,10,2021/06/28  1:11 pm,2021/06/28  1:16 pm,-€10.00,22,-660,-500
Sportium,10,2021/06/22  3:12 pm,2021/06/22  3:15 pm,-€10.00,8,-68,-500
Sportium,10,2021/06/17 12:11 pm,2021/06/17 12:16 pm,-€10.00,19,-639,-500
Sportium,10,2021/06/14 11:44 am,2021/06/14 11:44 am,-€10.00,4,-95,-500
Sportium,10,2021/06/14 11:37 am,2021/06/14 11:42 am,-€10.00,19,107,-500
Sportium,10,2021/06/14 11:29 am,2021/06/14 11:36 am,-€10.00,20,-174,-500
Sportium,10,2021/06/14 11:28 am,2021/06/14 11:37 am,-€10.00,28,-387,-500
Sportium,10,2021/06/14 11:22 am,2021/06/14 11:27 am,-€10.00,12,-311,-500
Sportium,10,2021/06/11 11:58 am,2021/06/11 12:01 pm,-€10.00,6,-185,-500
Sportium,10,2021/06/11 11:58 am,2021/06/11 12:01 pm,-€10.00,8,-400,-500
