"Site","Tournament #","Buy-In","Tourney Start","Tourney End","My C Net Won","Hands","chipEV/tourney","Chips Won"
"iPoker Network","654101991","€9.30+€0.70","2021/07/14  9:25 pm","2021/07/14  9:31 pm","-€10.00","18","-176","-500"
"iPoker Network","654054339","€9.30+€0.70","2021/07/14  9:21 pm","2021/07/14  9:27 pm","€10.00","23","305","1,000"
"iPoker Network","654101329","€9.30+€0.70","2021/07/14  9:21 pm","2021/07/14  9:23 pm","-€10.00","6","-192","-500"
"iPoker Network","654101517","€9.30+€0.70","2021/07/14  9:17 pm","2021/07/14  9:21 pm","-€10.00","11","-369","-500"
"iPoker Network","654097171","€9.30+€0.70","2021/07/14  9:10 pm","2021/07/14  9:17 pm","-€10.00","19","-264","-500"
"iPoker Network","652169076","€9.30+€0.70","2021/07/01 10:04 pm","2021/07/01 10:10 pm","-€10.00","23","-120","-500"
"iPoker Network","652169847","€9.30+€0.70","2021/07/01 10:03 pm","2021/07/01 10:12 pm","-€10.00","37","-460","-500"
"iPoker Network","652169112","€9.30+€0.70","2021/07/01 10:03 pm","2021/07/01 10:08 pm","-€10.00","16","-399","-500"
"iPoker Network","652169032","€9.30+€0.70","2021/07/01  9:59 pm","2021/07/01 10:02 pm","-€10.00","10","-99","-500"
"iPoker Network","652169179","€9.30+€0.70","2021/07/01  9:59 pm","2021/07/01 10:02 pm","€20.00","11","-105","1,000"
"iPoker Network","652168333","€9.30+€0.70","2021/07/01  9:56 pm","2021/07/01 10:02 pm","-€10.00","23","73","-500"
"iPoker Network","652168239","€9.30+€0.70","2021/07/01  9:55 pm","2021/07/01  9:58 pm","-€10.00","14","216","-500"
"iPoker Network","652166257","€9.30+€0.70","2021/07/01  9:48 pm","2021/07/01  9:55 pm","-€10.00","22","-528","-500"
"iPoker Network","652166738","€9.30+€0.70","2021/07/01  9:48 pm","2021/07/01  9:50 pm","€10.00","7","665","1,000"
"iPoker Network","652167433","€9.30+€0.70","2021/07/01  9:45 pm","2021/07/01  9:50 pm","-€10.00","17","-167","-500"
"iPoker Network","652165794","€9.30+€0.70","2021/07/01  9:44 pm","2021/07/01  9:50 pm","-€10.00","21","27","-500"
"iPoker Network","652166630","€9.30+€0.70","2021/07/01  9:40 pm","2021/07/01  9:43 pm","-€10.00","12","129","-500"
"iPoker Network","652166862","€9.30+€0.70","2021/07/01  9:35 pm","2021/07/01  9:38 pm","-€10.00","9","-259","-500"
"iPoker Network","652166662","€9.30+€0.70","2021/07/01  9:34 pm","2021/07/01  9:45 pm","-€10.00","45","-227","-500"
"iPoker Network","652165892","€9.30+€0.70","2021/07/01  9:25 pm","2021/07/01  9:30 pm","-€10.00","21","32","-500"
"iPoker Network","652143985","€9.30+€0.70","2021/07/01  9:24 pm","2021/07/01  9:25 pm","-€10.00","3","-48","-500"
"iPoker Network","652163842","€9.30+€0.70","2021/07/01  9:18 pm","2021/07/01  9:24 pm","-€10.00","18","-29","-500"
"iPoker Network","652165155","€9.30+€0.70","2021/07/01  9:18 pm","2021/07/01  9:23 pm","€10.00","21","122","1,000"
"iPoker Network","652163811","€9.30+€0.70","2021/07/01  9:17 pm","2021/07/01  9:24 pm","-€10.00","26","-138","-500"
"iPoker Network","652151703","€9.30+€0.70","2021/07/01  6:14 pm","2021/07/01  6:20 pm","€20.00","26","94","1,000"
"iPoker Network","652151577","€9.30+€0.70","2021/07/01  6:12 pm","2021/07/01  6:17 pm","-€10.00","16","-270","-500"
"iPoker Network","652151547","€4.65+€0.35","2021/07/01  6:10 pm","2021/07/01  6:18 pm","€5.00","29","531","1,000"
"iPoker Network","652151155","€9.30+€0.70","2021/07/01  6:10 pm","2021/07/01  6:11 pm","€10.00","5","733","1,000"
"iPoker Network","652150754","€9.30+€0.70","2021/07/01  6:03 pm","2021/07/01  6:08 pm","€10.00","24","-210","1,000"
"iPoker Network","652150934","€9.30+€0.70","2021/07/01  5:58 pm","2021/07/01  6:02 pm","€10.00","15","316","1,000"
"iPoker Network","652150856","€9.30+€0.70","2021/07/01  5:57 pm","2021/07/01  6:01 pm","€20.00","15","-46","1,000"
"iPoker Network","652150724","€9.30+€0.70","2021/07/01  5:53 pm","2021/07/01  5:54 pm","€10.00","6","505","1,000"
"iPoker Network","652131633","€9.30+€0.70","2021/07/01  5:52 pm","2021/07/01  5:56 pm","-€10.00","12","330","-500"
"iPoker Network","652150411","€9.30+€0.70","2021/07/01  5:50 pm","2021/07/01  5:57 pm","-€10.00","25","-455","-500"
"iPoker Network","652150257","€9.30+€0.70","2021/07/01  5:45 pm","2021/07/01  5:50 pm","-€10.00","14","-265","-500"
"iPoker Network","652150132","€9.30+€0.70","2021/07/01  5:45 pm","2021/07/01  5:50 pm","€10.00","18","591","1,000"
"iPoker Network","652149603","€4.65+€0.35","2021/07/01  5:45 pm","2021/07/01  5:46 pm","-€5.00","4","-500","-500"
"iPoker Network","652150165","€9.30+€0.70","2021/07/01  5:41 pm","2021/07/01  5:43 pm","-€10.00","7","120","-500"
"iPoker Network","652149973","€9.30+€0.70","2021/07/01  5:39 pm","2021/07/01  5:44 pm","-€10.00","19","-433","-500"
"iPoker Network","652149443","€4.65+€0.35","2021/07/01  5:32 pm","2021/07/01  5:39 pm","€10.00","15","993","1,000"
"iPoker Network","652149575","€4.65+€0.35","2021/07/01  5:25 pm","2021/07/01  5:31 pm","-€5.00","20","-222","-500"
"iPoker Network","652149294","€4.65+€0.35","2021/07/01  5:25 pm","2021/07/01  5:31 pm","€10.00","12","71","1,000"
"iPoker Network","652137477","€9.30+€0.70","2021/07/01 11:34 am","2021/07/01 11:41 am","€10.00","22","473","1,000"
"iPoker Network","651869436","€18.60+€1.40","2021/06/29  4:45 pm","2021/06/29  4:53 pm","-€20.00","31","-439","-500"
"iPoker Network","651869231","€18.60+€1.40","2021/06/29  4:38 pm","2021/06/29  4:43 pm","-€20.00","14","-117","-500"
"iPoker Network","651869161","€18.60+€1.40","2021/06/29  4:37 pm","2021/06/29  4:43 pm","-€20.00","24","-716","-500"
"iPoker Network","651869031","€18.60+€1.40","2021/06/29  4:35 pm","2021/06/29  4:35 pm","-€20.00","2","-362","-500"
"iPoker Network","651869139","€18.60+€1.40","2021/06/29  4:33 pm","2021/06/29  4:37 pm","-€20.00","16","472","-500"
"iPoker Network","651869070","€18.60+€1.40","2021/06/29  4:32 pm","2021/06/29  4:37 pm","€20.00","16","291","1,000"
"iPoker Network","651867813","€18.60+€1.40","2021/06/29  4:32 pm","2021/06/29  4:41 pm","-€20.00","39","156","-500"
"iPoker Network","651868865","€18.60+€1.40","2021/06/29  4:24 pm","2021/06/29  4:27 pm","-€20.00","12","-164","-500"
"iPoker Network","651868783","€18.60+€1.40","2021/06/29  4:22 pm","2021/06/29  4:29 pm","-€20.00","23","-241","-500"
